UNIQUE_IDENTIFICATION_NUMBER_OF_THE_INSTITUTION,Percent of American Indian or Alaska Native Undergraduates,Percent of Two or More Races Undergraduates,Percent of Asian Undergraduates,Percent of Black or African American Undergraduates,Percent of Latino Undergraduates,Percent of Native Hawaiian or Other Pacific Islander Undergraduates,Percent of White Undergraduates,Percent of Undergraduates Race-Ethnicity Unknown,Percent of Nonresident Undergraduates,Percent of Bachelor Degrees American Indian or Alaska Native Men,Percent of Bachelor Degrees American Indian or Alaska Native Total,Percent of Bachelor Degrees American Indian or Alaska Native Women,Percent of Bachelor Degrees Asian Men,Percent of Bachelor Degrees Asian Total,Percent of Bachelor Degrees Asian Women,Percent of Bachelor Degrees Black or African American Men,Percent of Bachelor Degrees Black or African American Total,Percent of Bachelor Degrees Black or African American Women,Percent of Bachelor Degrees Latino Men,Percent of Bachelor Degrees Latino Total,Percent of Bachelor Degrees Latina Women,Percent of Bachelor Degrees Native Hawaiian or Other Pacific Islander Men,Percent of Bachelor Degrees Native Hawaiian or Other Pacific Islander Total,Percent of Bachelor Degrees Native Hawaiian or Other Pacific Islander Women,Percent of Bachelor Degrees Women,Percent of Bachelor Degrees Men,Percent of Bachelor Degrees White Total,Percent of Bachelor Degrees White Men,Percent of Bachelor Degrees White Women,"Percent of Bachelor Degrees Awarded in Science, Technology, Engineering, and Math",Percent of Bachelor Degrees Awarded in Arts and Humanities,Percent of Bachelor Degrees Awarded in Education,Percent of Bachelor Degrees Awarded in Social Sciences,Percent of Bachelor Degrees Awarded in Health Sciences,Percent of Bachelor Degrees Awarded in Business,Median Earnings of Students Working and Not Enrolled 10 Years After Entry,Median Debt for Dependent Students,Median Debt for Independent Students,Percent of Part-Time Undergraduates,"Average In-State Tuition for First-Time, Full-Time Undergraduates","Out-of-State Average Tuition for First-Time, Full-Time Undergraduates","Average Amount of Loans Awarded to First-Time, Full-Time Undergraduates","Average Amount of Federal Grant Aid Awarded to First-Time, Full-Time Undergraduates","Average Amount of Institutional Grant Aid Awarded to First-Time, Full-Time Undergraduates",Number of Undergraduates Enrolled
101301,0.0,2.0,1.0,74.0,1.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36041.0,,,0.5087,3690.0,7380.0,,7615.0,3501.0,480.0
101435,0.0,4.0,1.0,20.0,6.0,0.0,66.0,20.0,0.0,0.0,0.008197,0.008197,0.008197,0.008197,0.0,0.077869,0.155738,0.077869,0.02459,0.04918,0.02459,0.0,0.0,0.0,0.577869,0.422131,0.721311,0.286885,0.434426,0.139344,0.0,0.032787,0.020492,0.012295,0.352459,47921.5,15208.0,23002.0,0.1407,25995.0,25995.0,8854.0,5070.0,12904.0,792.0
101994,0.0,2.0,1.0,61.0,1.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,,,0.5377,3690.0,7380.0,,6428.0,4797.0,144.0
102553,5.0,10.0,7.0,3.0,8.0,3.0,49.0,6.0,2.0,0.006705,0.029693,0.022989,0.030651,0.079502,0.048851,0.005747,0.022989,0.017241,0.035441,0.092912,0.057471,0.004789,0.015326,0.010536,0.590996,0.409004,0.556513,0.229885,0.326628,0.069923,0.0,0.0,0.045019,0.244253,0.185824,47921.5,9000.0,14207.0,0.4772,7224.0,23072.0,5628.0,5494.0,3943.0,4052.0
102632,14.0,11.0,3.0,1.0,7.0,2.0,55.0,5.0,5.0,0.013889,0.069444,0.055556,0.013889,0.041667,0.027778,0.0,0.0,0.0,0.020833,0.069444,0.048611,0.0,0.006944,0.006944,0.680556,0.319444,0.638889,0.201389,0.4375,0.111111,0.013889,0.173611,0.145833,0.0,0.291667,27937.0,7500.0,12467.0,0.5447,7121.0,22742.0,6059.0,3762.0,2929.0,477.0
102669,23.0,13.0,5.0,3.0,10.0,1.0,32.0,21.0,1.0,0.057692,0.25,0.192308,0.0,0.0,0.0,0.019231,0.057692,0.038462,0.0,0.038462,0.038462,0.0,0.0,0.0,0.75,0.25,0.480769,0.115385,0.365385,0.019231,0.019231,0.0,0.0,0.115385,0.269231,47921.5,12892.0,13255.0,0.198,20350.0,20350.0,6186.0,4298.0,10187.0,294.0
104160,1.0,1.0,1.0,1.0,67.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,3250.0,6230.0,0.7199,2700.0,11250.0,4583.0,5623.0,1669.0,2012.0
104708,1.0,5.0,5.0,6.0,40.0,0.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,3500.0,5091.0,0.661,2040.0,7824.0,3478.0,5272.0,1677.0,3654.0
105297,97.0,0.0,0.0,0.0,1.0,0.0,1.0,,,0.358974,0.974359,0.615385,0.0,0.0,0.0,0.0,0.0,0.0,0.025641,0.025641,0.0,0.0,0.0,0.0,0.615385,0.384615,0.0,0.0,0.0,0.128205,0.0,0.153846,0.0,0.230769,0.179487,36041.0,,,0.4413,1320.0,1320.0,,3061.0,525.0,652.0
106263,0.0,3.0,7.0,12.0,9.0,0.0,64.0,2.0,4.0,0.0,0.003205,0.003205,0.003205,0.028846,0.025641,0.022436,0.112179,0.089744,0.022436,0.092949,0.070513,0.0,0.00641,0.00641,0.826923,0.173077,0.647436,0.099359,0.548077,0.0,0.0,0.0,0.0,1.0,0.0,47921.5,12000.0,16250.0,0.2399,6708.0,14448.0,,,,732.0
106324,0.0,0.0,0.0,3.0,18.0,3.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,,,0.2895,,,5695.0,3620.0,,28.0
106360,4.0,0.0,0.0,12.0,8.0,0.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,7458.0,9500.0,0.0,,,5667.0,6427.0,,25.0
106467,1.0,5.0,2.0,6.0,10.0,0.0,75.0,0.0,4.0,0.001567,0.003918,0.002351,0.005486,0.010188,0.004702,0.027429,0.062696,0.035266,0.027429,0.067398,0.039969,0.000784,0.000784,0.0,0.570533,0.429467,0.765674,0.315047,0.450627,0.076019,0.0,0.126176,0.025078,0.138715,0.146552,47921.5,10500.0,16000.0,0.1614,5736.0,11472.0,6728.0,4304.0,5159.0,5398.0
106883,0.0,3.0,0.0,39.0,2.0,0.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,3500.0,5250.0,0.3298,2940.0,3540.0,3340.0,5575.0,1680.0,391.0
106892,0.0,0.0,0.0,81.0,3.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,3412.0,3412.0,0.0,,,3026.0,4149.0,,62.0
106980,2.0,0.0,2.0,12.0,11.0,0.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,5250.0,8692.0,0.3773,3000.0,4110.0,4347.0,4738.0,2836.0,1210.0
107099,0.0,1.0,0.0,14.0,5.0,0.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,,,0.0,,,7245.0,6036.0,,85.0
107442,0.0,0.0,0.0,97.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,,,0.0,,,6071.0,5446.0,,33.0
107488,1.0,5.0,4.0,3.0,36.0,2.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,,,0.0161,4000.0,4000.0,6483.0,3739.0,1602.0,153.0
107831,1.0,1.0,0.0,8.0,4.0,0.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,8259.0,8893.0,0.0,,,8441.0,7501.0,,84.0
107992,0.0,7.0,0.0,39.0,5.0,0.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,3500.0,5667.0,0.3551,3240.0,4680.0,2898.0,6184.0,2931.0,480.0
109086,0.0,9.0,0.0,18.0,27.0,0.0,18.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,,,0.0,30235.0,30235.0,,,,11.0
109907,1.0,6.0,3.0,16.0,46.0,1.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36041.0,,,0.5284,1104.0,8952.0,3156.0,6417.0,3405.0,910.0
110097,0.0,7.0,15.0,3.0,21.0,1.0,44.0,6.0,16.0,0.0,0.00246,0.00246,0.063961,0.141451,0.077491,0.00615,0.01722,0.01107,0.057811,0.211562,0.153752,0.00369,0.00738,0.00369,0.650677,0.349323,0.428044,0.151292,0.276753,0.059041,0.0,0.052891,0.061501,0.092251,0.173432,47921.5,19500.0,12500.0,0.0793,44382.0,44382.0,6930.0,6007.0,25016.0,3289.0
110398,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110529,0.0,4.0,22.0,3.0,50.0,0.0,14.0,4.0,10.0,0.001076,0.001537,0.000461,0.12573,0.227636,0.101906,0.014756,0.030587,0.015832,0.20581,0.453735,0.247925,0.001383,0.002152,0.000769,0.494928,0.505072,0.150323,0.087611,0.062711,0.15478,0.024746,0.020904,0.078543,0.0,0.293729,47921.5,13000.0,16500.0,0.1247,5742.0,17622.0,5379.0,5307.0,5302.0,23140.0
110875,5.0,3.0,3.0,0.0,52.0,11.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,3666.0,6333.0,0.1702,,,3649.0,4315.0,,59.0
110918,0.0,0.0,21.0,14.0,29.0,0.0,29.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47921.5,,,0.3077,9600.0,9600.0,,,,7.0
111513,3.0,1.0,13.0,3.0,46.0,1.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,3666.0,6333.0,0.2179,,,5244.0,5188.0,,151.0
111638,1.0,2.0,13.0,2.0,53.0,1.0,27.0,,,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.5,0.4,0.0,0.0,0.0,0.5,0.5,0.4,0.3,0.1,0.0,0.0,0.0,0.0,1.0,0.0,36041.0,12379.0,20535.0,0.0,,,7675.0,6037.0,,246.0
111762,0.0,0.0,0.0,3.0,94.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,5500.0,6655.0,0.0,,,6491.0,6879.0,,90.0
111948,0.0,8.0,15.0,2.0,17.0,0.0,49.0,2.0,9.0,0.0,0.001097,0.001097,0.046078,0.12452,0.078442,0.004937,0.015359,0.010422,0.073505,0.176083,0.102578,0.000549,0.002194,0.001646,0.607241,0.392759,0.511245,0.200219,0.311026,0.053758,0.000549,0.034558,0.044981,0.055952,0.362589,47921.5,17500.0,22000.0,0.0541,58250.0,58250.0,7024.0,2275.0,28536.0,7156.0
112084,1.0,6.0,3.0,10.0,31.0,1.0,38.0,38.0,0.0,0.0,0.0,0.0,0.019802,0.039604,0.019802,0.089109,0.118812,0.029703,0.138614,0.29703,0.158416,0.009901,0.019802,0.009901,0.475248,0.524752,0.445545,0.217822,0.227723,0.029703,0.009901,0.0,0.0,0.0,0.306931,47921.5,13000.0,17000.0,0.1381,23497.0,23497.0,4587.0,2965.0,11038.0,385.0
113236,0.0,5.0,25.0,4.0,51.0,0.0,12.0,,,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.375,0.25,0.0,0.0,0.0,0.875,0.125,0.375,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,27937.0,4500.0,9500.0,0.6241,1104.0,8856.0,6175.0,5851.0,686.0,4559.0
114390,,,,,,,,,,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.05,0.05,0.95,0.05,0.35,0.05,0.3,0.0,0.0,0.0,0.0,0.0,0.75,36041.0,12000.0,14750.0,0.1327,31275.0,31275.0,5917.0,5999.0,7936.0,
114585,,,,,,,,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115083,2.0,1.0,13.0,20.0,21.0,2.0,33.0,14.0,5.0,0.007143,0.007143,0.0,0.085714,0.142857,0.057143,0.078571,0.178571,0.1,0.128571,0.2,0.071429,0.0,0.021429,0.021429,0.392857,0.607143,0.357143,0.228571,0.128571,0.007143,0.0,0.0,0.0,0.0,0.992857,47921.5,,,0.273,11088.0,11088.0,,,,503.0
113218,0.0,4.0,4.0,4.0,35.0,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36041.0,3500.0,8000.0,0.7863,1288.0,9884.0,2567.0,5604.0,750.0,1379.0
116350,8.0,0.0,9.0,6.0,42.0,1.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,10380.0,11983.0,0.0,,,8393.0,6801.0,,158.0
117636,0.0,4.0,24.0,4.0,40.0,0.0,24.0,0.0,10.0,0.0,0.002469,0.002469,0.101235,0.291358,0.190123,0.007407,0.041975,0.034568,0.069136,0.323457,0.254321,0.004938,0.012346,0.007407,0.750617,0.249383,0.234568,0.051852,0.182716,0.0,0.0,0.0,0.0,1.0,0.0,47921.5,16266.0,23452.0,0.1461,32736.0,32736.0,,,,819.0
117733,0.0,3.0,7.0,5.0,52.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36041.0,4750.0,10500.0,0.7657,1196.0,8970.0,6879.0,4207.0,,2433.0
117803,1.0,2.0,29.0,4.0,43.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36041.0,,,1.0,,,,,,
118198,1.0,3.0,12.0,12.0,31.0,2.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27937.0,6568.0,7134.0,0.0,,,7468.0,4504.0,,555.0
